STT,Category,Icon Name,Keywords,Library,License,Import Code,Usage,Best For,Style,Animation_Class
1,Navigation,menu,hamburger menu navigation toggle bars,Lucide,MIT,import { Menu } from 'lucide-react',<Menu />,Mobile navigation drawer toggle sidebar,Outline,transition-transform hover:scale-105
2,Navigation,arrow-left,back previous return navigate,Lucide,MIT,import { ArrowLeft } from 'lucide-react',<ArrowLeft />,Back button breadcrumb navigation,Outline,hover:-translate-x-1 transition-transform
3,Navigation,arrow-right,next forward continue navigate,Lucide,MIT,import { ArrowRight } from 'lucide-react',<ArrowRight />,Forward button next step CTA,Outline,group-hover:translate-x-1 transition-transform
4,Navigation,chevron-down,dropdown expand accordion select,Lucide,MIT,import { ChevronDown } from 'lucide-react',<ChevronDown />,Dropdown toggle accordion header,Outline,transition-transform data-[state=open]:rotate-180
5,Navigation,chevron-up,collapse close accordion minimize,Lucide,MIT,import { ChevronUp } from 'lucide-react',<ChevronUp />,Accordion collapse minimize,Outline,transition-transform data-[state=open]:rotate-180
6,Navigation,home,homepage main dashboard start,Lucide,MIT,import { Home } from 'lucide-react',<Home />,Home navigation main page,Outline,hover:scale-110 transition-transform
7,Navigation,x,close cancel dismiss remove exit,Lucide,MIT,import { X } from 'lucide-react',<X />,Modal close dismiss button,Outline,hover:rotate-90 transition-transform
8,Navigation,external-link,open new tab external link,Lucide,MIT,import { ExternalLink } from 'lucide-react',<ExternalLink />,External link indicator,Outline,group-hover:translate-x-0.5 group-hover:-translate-y-0.5 transition-transform
9,Action,plus,add create new insert,Lucide,MIT,import { Plus } from 'lucide-react',<Plus />,Add button create new item,Outline,hover:rotate-90 transition-transform
10,Action,minus,remove subtract decrease delete,Lucide,MIT,import { Minus } from 'lucide-react',<Minus />,Remove item quantity decrease,Outline,hover:scale-110 transition-transform
11,Action,trash-2,delete remove discard bin,Lucide,MIT,import { Trash2 } from 'lucide-react',<Trash2 />,Delete action destructive,Outline,hover:scale-110 hover:text-red-500 transition-all
12,Action,edit,pencil modify change update,Lucide,MIT,import { Edit } from 'lucide-react',<Edit />,Edit button modify content,Outline,hover:scale-110 transition-transform
13,Action,save,disk store persist save,Lucide,MIT,import { Save } from 'lucide-react',<Save />,Save button persist changes,Outline,hover:scale-110 transition-transform
14,Action,download,export save file download,Lucide,MIT,import { Download } from 'lucide-react',<Download />,Download file export,Outline,hover:translate-y-0.5 transition-transform active:animate-bounce
15,Action,upload,import file attach upload,Lucide,MIT,import { Upload } from 'lucide-react',<Upload />,Upload file import,Outline,hover:-translate-y-0.5 transition-transform active:animate-bounce
16,Action,copy,duplicate clipboard paste,Lucide,MIT,import { Copy } from 'lucide-react',<Copy />,Copy to clipboard,Outline,hover:scale-110 active:scale-95 transition-transform
17,Action,share,social distribute send,Lucide,MIT,import { Share } from 'lucide-react',<Share />,Share button social,Outline,hover:scale-110 transition-transform
18,Action,search,find lookup filter query,Lucide,MIT,import { Search } from 'lucide-react',<Search />,Search input bar,Outline,hover:scale-105 transition-transform
19,Action,filter,sort refine narrow options,Lucide,MIT,import { Filter } from 'lucide-react',<Filter />,Filter dropdown sort,Outline,hover:scale-105 transition-transform
