No,Category,Pattern,Description,Do,Don't,iOS_Value,Flutter_Equiv,RN_Equiv,Severity,Docs_URL
1,Colors,systemBlue,Primary interactive color for tappable elements and links,Use for primary actions and interactive elements,Hardcode hex values that don't adapt to dark mode,Color(.systemBlue),CupertinoColors.systemBlue.resolveFrom(context),PlatformColor('systemBlue'),High,https://developer.apple.com/design/human-interface-guidelines/color
2,Colors,systemGreen,Success states and positive actions,Use for confirmations and success indicators,Use for destructive actions,Color(.systemGreen),CupertinoColors.systemGreen.resolveFrom(context),PlatformColor('systemGreen'),High,https://developer.apple.com/design/human-interface-guidelines/color
3,Colors,systemRed,Destructive actions and error states,Use for delete buttons and error messages,Use for non-destructive primary actions,Color(.systemRed),CupertinoColors.destructiveRed.resolveFrom(context),PlatformColor('systemRed'),High,https://developer.apple.com/design/human-interface-guidelines/color
4,Colors,systemOrange,Warning states and attention-grabbing elements,Use for warnings and notifications requiring attention,Overuse as it can cause visual fatigue,Color(.systemOrange),CupertinoColors.systemOrange.resolveFrom(context),PlatformColor('systemOrange'),Medium,https://developer.apple.com/design/human-interface-guidelines/color
5,Colors,systemYellow,Caution indicators and highlights,Use for starred or favorited items,Use for text on light backgrounds due to low contrast,Color(.systemYellow),CupertinoColors.systemYellow.resolveFrom(context),PlatformColor('systemYellow'),Medium,https://developer.apple.com/design/human-interface-guidelines/color
6,Colors,systemPink,Accent color for health and lifestyle apps,Use as accent in appropriate contexts,Use as primary action color in business apps,Color(.systemPink),CupertinoColors.systemPink.resolveFrom(context),PlatformColor('systemPink'),Low,https://developer.apple.com/design/human-interface-guidelines/color
7,Colors,systemPurple,Creative and premium feature indicators,Use for creative tools and premium badges,Overuse in utilitarian interfaces,Color(.systemPurple),CupertinoColors.systemPurple.resolveFrom(context),PlatformColor('systemPurple'),Low,https://developer.apple.com/design/human-interface-guidelines/color
8,Colors,systemTeal,Secondary interactive elements,Use for secondary actions and info states,Confuse with systemBlue for primary actions,Color(.systemTeal),CupertinoColors.systemTeal.resolveFrom(context),PlatformColor('systemTeal'),Medium,https://developer.apple.com/design/human-interface-guidelines/color
9,Colors,systemBackground,Primary background adapting to light/dark mode,Use as the main view background,Use hardcoded #FFFFFF or #000000,Color(.systemBackground),CupertinoColors.systemBackground.resolveFrom(context),PlatformColor('systemBackground'),High,https://developer.apple.com/design/human-interface-guidelines/color
10,Colors,secondarySystemBackground,Grouped content and card backgrounds,Use for cards and elevated content areas,Use for primary backgrounds,Color(.secondarySystemBackground),CupertinoColors.secondarySystemBackground.resolveFrom(context),PlatformColor('secondarySystemBackground'),High,https://developer.apple.com/design/human-interface-guidelines/color
11,Colors,label,Primary text color adapting to appearance,Use for all primary text content,Use gray or custom colors for main text,Color(.label),CupertinoColors.label.resolveFrom(context),PlatformColor('label'),High,https://developer.apple.com/design/human-interface-guidelines/color
12,Colors,secondaryLabel,Secondary text like subtitles and captions,Use for supplementary text information,Use for primary content or CTAs,Color(.secondaryLabel),CupertinoColors.secondaryLabel.resolveFrom(context),PlatformColor('secondaryLabel'),High,https://developer.apple.com/design/human-interface-guidelines/color
13,Colors,tertiaryLabel,Tertiary text for disabled or placeholder states,Use for placeholder text and disabled labels,Use for important readable content,Color(.tertiaryLabel),CupertinoColors.tertiaryLabel.resolveFrom(context),PlatformColor('tertiaryLabel'),Medium,https://developer.apple.com/design/human-interface-guidelines/color
14,Colors,separator,Thin lines between list items and sections,Use for visual separation between content,Use thick or prominent lines,Color(.separator),CupertinoColors.separator.resolveFrom(context),PlatformColor('separator'),Medium,https://developer.apple.com/design/human-interface-guidelines/color
15,Colors,groupedBackground,Background for grouped table views,Use as background for inset grouped lists,Use for non-grouped content areas,Color(.systemGroupedBackground),CupertinoColors.systemGroupedBackground.resolveFrom(context),PlatformColor('systemGroupedBackground'),Medium,https://developer.apple.com/design/human-interface-guidelines/color
16,Typography,largeTitle,Large prominent titles at 34pt for top-level views,Use at the top of main screens with large title navigation,Use in body content or nested views,.font(.largeTitle),TextStyle(fontSize: 34 fontWeight: FontWeight.w400),{ fontSize: 34 fontWeight: '400' },High,https://developer.apple.com/design/human-interface-guidelines/typography
17,Typography,title1,Primary title at 28pt for section headers,Use for major section headings,Use for body text or small labels,.font(.title),TextStyle(fontSize: 28 fontWeight: FontWeight.w400),{ fontSize: 28 fontWeight: '400' },High,https://developer.apple.com/design/human-interface-guidelines/typography
