No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,State Management,Use remember for local state,remember preserves state across recompositions,Use remember { mutableStateOf() } for UI state,Create state without remember,val count = remember { mutableStateOf(0) },val count = mutableStateOf(0),Critical,https://developer.android.com/develop/ui/compose/state
2,State Management,Use rememberSaveable for configuration changes,rememberSaveable survives process death and config changes,Use rememberSaveable for user input,Use remember for data that should survive rotation,val text = rememberSaveable { mutableStateOf("") },val text = remember { mutableStateOf("") } for form data,High,https://developer.android.com/develop/ui/compose/state#restore-ui-state
3,State Management,Hoist state to caller,State hoisting makes composables reusable and testable,Pass state and event callbacks as parameters,Keep state internal when it should be shared,"fun Counter(count: Int, onIncrement: () -> Unit)",fun Counter() { var count = remember { mutableStateOf(0) } },High,https://developer.android.com/develop/ui/compose/state#state-hoisting
4,State Management,Use ViewModel for business logic state,ViewModel survives configuration changes and manages UI state,Collect Flow as State with collectAsState,Put business logic in composables,val uiState by viewModel.uiState.collectAsState(),var data = remember { fetchData() },Critical,https://developer.android.com/topic/libraries/architecture/viewmodel
5,State Management,Use derivedStateOf for computed values,derivedStateOf prevents unnecessary recompositions,Wrap expensive calculations in derivedStateOf,Compute values directly in composition,val filtered = remember { derivedStateOf { list.filter { it.active } } },val filtered = list.filter { it.active },High,https://developer.android.com/develop/ui/compose/state#derived-state
6,State Management,Use LaunchedEffect for coroutine side effects,LaunchedEffect runs coroutines tied to composition lifecycle,Use LaunchedEffect with proper keys,Launch coroutines without lifecycle awareness,"LaunchedEffect(userId) { loadUser(userId) }","scope.launch { loadUser(userId) }",Critical,https://developer.android.com/develop/ui/compose/side-effects#launchedeffect
7,State Management,Use DisposableEffect for cleanup,DisposableEffect handles setup and cleanup of resources,Return onDispose for cleanup logic,Forget to clean up resources,"DisposableEffect(key) { onDispose { cleanup() } }",LaunchedEffect without cleanup for listeners,High,https://developer.android.com/develop/ui/compose/side-effects#disposableeffect
8,State Management,Use SideEffect for non-Compose code,SideEffect runs after every successful recomposition,Sync Compose state to non-Compose code,Use SideEffect for suspending operations,SideEffect { analytics.log(screenName) },LaunchedEffect for synchronous callbacks,Medium,https://developer.android.com/develop/ui/compose/side-effects#sideeffect
9,State Management,Use snapshotFlow for converting State to Flow,snapshotFlow creates Flow from Compose State reads,Convert State changes to Flow for processing,Create manual flows from state,"snapshotFlow { scrollState.value }.collect { }",Flow that manually observes state changes,Medium,https://developer.android.com/develop/ui/compose/side-effects#snapshotflow
10,State Management,Use produceState for async data,produceState converts non-Compose state into Compose State,Load async data into composition,Use LaunchedEffect with separate state,"val data by produceState(initial) { value = loadData() }","var data by remember { mutableStateOf(null) }; LaunchedEffect { data = loadData() }",Medium,https://developer.android.com/develop/ui/compose/side-effects#producestate
11,Animation,Use animate*AsState for simple animations,animate*AsState automatically animates value changes,Use for single value animations,Use for complex coordinated animations,"val alpha by animateFloatAsState(if (visible) 1f else 0f, label = ""alpha"")","var alpha = if (visible) 1f else 0f",High,https://developer.android.com/develop/ui/compose/animation/value-based
12,Animation,Use Animatable for imperative control,Animatable provides coroutine-based animation control,Use when you need snapTo or animateTo,Use for simple state-driven animations,"val offset = remember { Animatable(0f) }; offset.animateTo(100f)","animateFloatAsState for gesture-driven animations",Medium,https://developer.android.com/develop/ui/compose/animation/value-based#animatable
13,Animation,Use AnimatedVisibility for enter/exit,AnimatedVisibility handles appear/disappear animations,Use for showing/hiding composables,Manually animate alpha for visibility,"AnimatedVisibility(visible) { Content() }","Box(Modifier.alpha(if (visible) 1f else 0f)) { Content() }",High,https://developer.android.com/develop/ui/compose/animation/composables-modifiers#animatedvisibility
14,Animation,Use AnimatedContent for content transitions,AnimatedContent animates between different content,Use for content that changes with animation,Use AnimatedVisibility for different content,"AnimatedContent(targetState) { state -> when(state) { } }","if (state) Content1() else Content2()",Medium,https://developer.android.com/develop/ui/compose/animation/composables-modifiers#animatedcontent
