No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Navigation,Smooth Scroll,Web,Anchor links should scroll smoothly to target section,Use scroll-behavior: smooth on html element,Jump directly without transition,html { scroll-behavior: smooth; },<a href='#section'> without CSS,High
2,Navigation,Sticky Navigation,Web,Fixed nav should not obscure content,Add padding-top to body equal to nav height,Let nav overlap first section content,pt-20 (if nav is h-20),No padding compensation,Medium
3,Navigation,Active State,All,Current page/section should be visually indicated,Highlight active nav item with color/underline,No visual feedback on current location,text-primary border-b-2,All links same style,Medium
4,Navigation,Back Button,Mobile,Users expect back to work predictably,Preserve navigation history properly,Break browser/app back button behavior,history.pushState(),location.replace(),High
5,Navigation,Deep Linking,All,URLs should reflect current state for sharing,Update URL on state/view changes,Static URLs for dynamic content,Use query params or hash,Single URL for all states,Medium
6,Navigation,Breadcrumbs,Web,Show user location in site hierarchy,Use for sites with 3+ levels of depth,Use for flat single-level sites,Home > Category > Product,Only on deep nested pages,Low
7,Animation,Excessive Motion,All,Too many animations cause distraction and motion sickness,Animate 1-2 key elements per view maximum,Animate everything that moves,Single hero animation,animate-bounce on 5+ elements,High
8,Animation,Duration Timing,All,Animations should feel responsive not sluggish,Use 150-300ms for micro-interactions,Use animations longer than 500ms for UI,transition-all duration-200,duration-1000,Medium
9,Animation,Reduced Motion,All,Respect user's motion preferences,Check prefers-reduced-motion media query,Ignore accessibility motion settings,"// CSS: @media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms !important; transition-duration: 0.01ms !important; }}
// React hook:
const usePrefersReducedMotion = () => { const [prefersReduced, setPrefersReduced] = useState(false); useEffect(() => { const mq = window.matchMedia('(prefers-reduced-motion: reduce)'); setPrefersReduced(mq.matches); const handler = (e) => setPrefersReduced(e.matches); mq.addEventListener('change', handler); return () => mq.removeEventListener('change', handler); }, []); return prefersReduced; };
// Tailwind: motion-safe:animate-bounce motion-reduce:animate-none","// Ignores user preference: <div className=""animate-bounce"">Always animating</div>",High
10,Animation,Loading States,All,Show feedback during async operations,Use skeleton screens or spinners,Leave UI frozen with no feedback,"const Skeleton = () => (<div className=""animate-pulse space-y-4""><div className=""h-4 bg-gray-200 rounded w-3/4""></div><div className=""h-4 bg-gray-200 rounded w-1/2""></div><div className=""h-32 bg-gray-200 rounded""></div></div>); const Card = ({ isLoading data }) => isLoading ? <Skeleton /> : <div>{data}</div>;",Blank screen while loading,High
11,Animation,Hover vs Tap,All,Hover effects don't work on touch devices,Use click/tap for primary interactions,Rely only on hover for important actions,"// Good: Works on both touch and mouse
const Card = ({ onSelect, children }) => (<button onClick={onSelect} className=""p-4 border rounded-lg bg-white hover:bg-gray-50 active:bg-gray-100 focus:ring-2 focus:ring-blue-500 transition-colors touch-manipulation"">{children}</button>);
// For tooltips use click on mobile:
const Tooltip = ({ content, children }) => { const [show, setShow] = useState(false); return (<div className=""relative inline-block"" onMouseEnter={() => setShow(true)} onMouseLeave={() => setShow(false)} onClick={() => setShow(!show)}>{children}{show && <div className=""absolute z-10 p-2 bg-gray-900 text-white text-sm rounded"">{content}</div>}</div>);};","// Bad: Hover-only dropdown unreachable on touch
<div onMouseEnter={() => setOpen(true)}><Menu /></div>",High
12,Animation,Continuous Animation,All,Infinite animations are distracting,Use for loading indicators only,Use for decorative elements,animate-spin on loader,animate-bounce on icons,Medium
13,Animation,Transform Performance,Web,Some CSS properties trigger expensive repaints,Use transform and opacity for animations,Animate width/height/top/left properties,transform: translateY(),top: 10px animation,Medium
14,Animation,Easing Functions,All,Linear motion feels robotic,Use ease-out for entering ease-in for exiting,Use linear for UI transitions,ease-out,linear,Low
15,Layout,Z-Index Management,Web,Stacking context conflicts cause hidden elements,Define z-index scale system (10 20 30 50),Use arbitrary large z-index values,"// Define z-index scale in tailwind.config.js or CSS variables:
// z-0: base | z-10: dropdowns | z-20: sticky nav | z-30: modals | z-40: toasts | z-50: tooltips
const Modal = ({ children }) => (<div className=""fixed inset-0 z-30 flex items-center justify-center""><div className=""fixed inset-0 bg-black/50"" onClick={onClose} /><div className=""relative z-30 bg-white rounded-lg p-6 max-w-md w-full mx-4"">{children}</div></div>);
const Toast = ({ message }) => (<div className=""fixed bottom-4 right-4 z-40 p-4 bg-gray-900 text-white rounded-lg shadow-lg"">{message}</div>);","<div className=""z-[99999]"">Competing z-index</div> // Z-index wars cause bugs",High
16,Layout,Overflow Hidden,Web,Hidden overflow can clip important content,Test all content fits within containers,Blindly apply overflow-hidden,overflow-auto with scroll,overflow-hidden truncating content,Medium
17,Layout,Fixed Positioning,Web,Fixed elements can overlap or be inaccessible,Account for safe areas and other fixed elements,Stack multiple fixed elements carelessly,Fixed nav + fixed bottom with gap,Multiple overlapping fixed elements,Medium
18,Layout,Stacking Context,Web,New stacking contexts reset z-index,Understand what creates new stacking context,Expect z-index to work across contexts,Parent with z-index isolates children,z-index: 9999 not working,Medium
19,Layout,Content Jumping,Web,Layout shift when content loads is jarring,Reserve space for async content,Let images/content push layout around,"// Reserve space for images to prevent CLS (Cumulative Layout Shift)
<div className=""aspect-video bg-gray-100 rounded-lg overflow-hidden""><img src={imageUrl} alt=""..."" className=""w-full h-full object-cover"" loading=""lazy"" /></div>
// Skeleton with fixed dimensions:
const ImageSkeleton = () => (<div className=""aspect-video bg-gray-200 animate-pulse rounded-lg"" />);
// Next.js Image with placeholder:
<Image src=""/photo.jpg"" width={800} height={450} placeholder=""blur"" blurDataURL=""data:image/..."" className=""w-full h-auto"" />","<img src={url} /> // No dimensions causes layout shift when image loads",High
20,Layout,Viewport Units,Web,100vh can be problematic on mobile browsers,Use dvh or account for mobile browser chrome,Use 100vh for full-screen mobile layouts,min-h-dvh or min-h-screen,h-screen on mobile,Medium
21,Layout,Container Width,Web,Content too wide is hard to read,Limit max-width for text content (65-75ch),Let text span full viewport width,max-w-prose or max-w-3xl,Full width paragraphs,Medium
22,Touch,Touch Target Size,Mobile,Small buttons are hard to tap accurately,Minimum 44x44px touch targets,Tiny clickable areas,"<button className=""min-h-[44px] min-w-[44px] px-4 py-2 flex items-center justify-center bg-blue-600 text-white rounded-lg touch-manipulation"" aria-label=""Settings""><Settings className=""h-5 w-5"" /></button><a href=""/profile"" className=""inline-flex items-center min-h-[44px] px-3 py-2 text-blue-600 hover:underline"">View Profile</a>","<button className=""w-6 h-6 p-1""><Icon /></button> // 24px too small for touch",High
23,Touch,Touch Spacing,Mobile,Adjacent touch targets need adequate spacing,Minimum 8px gap between touch targets,Tightly packed clickable elements,gap-2 between buttons,gap-0 or gap-1,Medium
24,Touch,Gesture Conflicts,Mobile,Custom gestures can conflict with system,Avoid horizontal swipe on main content,Override system gestures,Vertical scroll primary,Horizontal swipe carousel only,Medium
25,Touch,Tap Delay,Mobile,300ms tap delay feels laggy,Use touch-action CSS or fastclick,Default mobile tap handling,touch-action: manipulation,No touch optimization,Medium
26,Touch,Pull to Refresh,Mobile,Accidental refresh is frustrating,Disable where not needed,Enable by default everywhere,overscroll-behavior: contain,Default overscroll,Low
27,Touch,Haptic Feedback,Mobile,Tactile feedback improves interaction feel,Use for confirmations and important actions,Overuse vibration feedback,navigator.vibrate(10),Vibrate on every tap,Low
